Topic,Words
0,"mail, email, mails, envoyes, envoye, envoyer, envoie, novembre, octobre, envoi, decembre, remboursements, refuse, avril, juin, reception, janvier, retard, fevrier, adresse, annulation, plainte, septembre, reclamation, commande, juillet, facture, receptionne, remboursement, commandes, incompetence, semaines, dedommagement, amazon, commandees, reclamations, messages, dates, annuler, refuser, lettres, message, commanderais, excuse, remboursent, semaine, tard, annulee, commanderai, commandee"
1,"cliente, clientele, clients, client, achats, acheter, vendeur, consommateurs, marchandises, vendent, site, ventes, fournisseur, scandaleux, amazon, sites, remboursements, boutique, payer, vendu, charge, achete, remboursement, remboursent, vendre, achetez, achat, paiement, prix, commerce, rembourses, rembourse, article, honte, annulation, rembourser, commerciale, commandes, paye, remboursee, mail, commande, decevant, plainte, commandees, email, commercial, mails, honteux, non"
2,"cliente, clientele, clients, client, remboursements, service, plainte, services, remboursent, remboursement, consommateurs, rembourse, rembourses, rembourser, incompetence, remboursee, payer, incompetents, paiement, incompetent, facture, charge, refuse, fournisseur, annulation, annuler, paye, defectueux, erreurs, reclamation, annulee, honte, decevant, attendant, annule, reclamations, erreur, mecontente, refuser, excuses, responsable, inacceptable, lamentable, retard, honteux, scandaleux, excuse, dedommagement, reception, incomplete"
3,"article, articles, commandes, commande, commandees, refuse, commandee, commanderais, regle, reclamation, mail, refuser, remboursements, annulation, commander, incomplete, reclamations, commanderai, gestion, regler, mails, incompetence, inacceptable, reception, commandez, produits, envoyes, incompetent, dedommagement, tres, envoye, plainte, envoyer, remboursent, remboursement, excuse, regulierement, mecontente, envoi, reconditionne, deuxieme, trois, facture, erreur, email, deux, rembourse, rembourses, defectueux, receptionne"
4,"euros, euro, acheter, achats, achete, payer, remboursement, achat, paiement, remboursent, remboursements, achetez, rembourse, charge, rembourses, remboursee, rembourser, paye, facture, boutique, cadeau, amazon, prix, marchandises, argent, emballage, honte, paquet, mail, reclamation, bancaire, clientele, cliente, banque, dedommagement, vendu, vendeur, commande, scandaleux, vendent, honteux, commandes, refuse, plainte, annulation, client, regrette, email, commerce, lamentable"
5,"robe, robes, pantalon, shirt, maillot, manteau, tissus, chemise, tissu, chaussures, chaussure, tailles, taille, mediocre, boutique, baskets, excellent, collection, beaux, honte, honteux, grosse, marchandises, bijoux, lamentable, valise, emballage, belles, excuse, magnifique, scandaleux, regrette, regle, paquet, incomplete, belle, beau, commandes, dommage, defectueux, excuses, enorme, porter, inacceptable, petites, mecontente, commandees, plainte, commande, mauvaise"
6,"long, longtemps, longs, longue, periode, minutes, temps, retard, rapidement, tard, instant, immediatement, moment, heures, trop, attendre, vente, attente, espere, arrives, rapide, presque, venteprivee, heure, attendant, rapidite, attends, attendu, attendais, attend, loin, depuis, marchandises, envoi, assez, parfois, lot, transport, minimum, jusqu, beaucoup, finalement, termine, expediee, dates, vite, transporteur, emballage, produits, tellement"
7,"commande, commandes, commandees, commandee, retard, annulation, refuse, remboursements, commanderai, commanderais, annuler, amazon, semaines, commandez, regler, regle, incompetence, plainte, reclamation, commander, semaine, remboursement, refuser, annulee, octobre, gestion, tard, incompetent, novembre, paiement, payer, reservation, mail, regulierement, remboursent, mecontente, mois, deuxieme, incompetents, annule, reclamations, dedommagement, facture, janvier, excuse, achats, inacceptable, fevrier, rembourse, envoi"
8,"emballage, cartons, carton, paquet, baskets, emballe, casses, emballes, sac, valise, incomplete, casse, mail, mails, articles, catastrophique, plastique, depot, article, defectueux, tissu, bottines, lamentable, mauvaise, collection, mauvaises, marchandises, cassee, mauvais, dommage, boites, endommage, incompetent, canape, decevant, pieces, tissus, incompetence, scandaleux, honte, produits, dossier, email, dedommagement, envoyes, erreur, completement, manquants, ouvert, envoi"
9,"merci, remercie, heureusement, sympa, satisfaite, satisfait, bravo, super, cadeaux, excellent, ok, bons, bonne, bien, malheureusement, bon, bonnes, parfait, bonjour, parfaite, parfaitement, respectes, fin, cadeau, respecte, convient, ah, chers, correctement, pris, bague, tellement, satisfaction, adore, accepte, souhaite, franchement, bientot, confirme, enfin, afin, contente, envoie, recevoir, honteux, fortement, correct, geste, revoir, sejour"
