Topic,Words
1,"marchandise, marchandises, qualité marchandise, marchandise très, marchandise conforme, marchandise marchandise, livraison marchandise, bonne, qualité, bonne qualité, état, marchandise reçue, marchandise bonne, conforme, retour marchandise"
2,"argent, récupérer argent, temps argent, pendant, garder argent, pendant mois, argent compte, récupérer, compte, prendre argent, mois, temps, perdu, garder, argent pendant"
3,"stock, stocks, rupture, rupture stock, plus stock, gestion, gestion stock, gérer, annulée, problème stock, logistique, commande annulée, stock donc, commande, faute stock"
4,"38, 36, 40, taille, 37, 42, 39, pointure, 41, taille 38, 44, taille 36, taille 40, commandé, fais"
5,"bijou, beaux, or, très beaux, swarovski, qualité, fantaisie, argent, jolis, bijou conforme, qualité bijou, irl, arrivé cassé, disant argent, zag"
6,"confortables, cuir, déchirée, pied, bonne qualité, semelles, qualité, semelle, occasion acheté, plastique prix, boites, elles, marque italienne, boîtes, être cuir"
7,"cadeau, bagues, commandé reçu, photo, faire cadeau, ciselé, petite, trop beau, adulte, plastique, commander, prix public, 99, connecté, bb"
8,"table, table basse, basse, chaises, tabourets, plateau, commandé table, table chaises, tableau, commande table, chaises table, acheté table, pieds, pieds table, bar"
9,"arnaque, arnaqueurs, belle arnaque, arnaque pure, vraiment arnaque, arnaque belle arnaque, arnaque belle, arnaque arnaque, arnaques, véritable arnaque, pure, ça arnaque, grosse arnaque, arnaque vraiment, véritable"
10,"qualité, bonne qualité, bonne, qualité bonne, qualité très, qualité bonne qualité, qualité qualité, qualité déçu, mauvaise qualité, déçu qualité, qualité déçu qualité, très bonne qualité, belle qualité, très bonne, coupe"
11,"sav, pitoyable, sav très, pitoyable sav, sav sav, sav plus, sav dit, rien savoir, sav veut, sav aussi, sav veut rien, sav sert, inexistant sav, déçu sav, sav pitoyable"
12,"attentes, attentes conforme, conforme attentes, correspond attentes, conforme, correspond, attentes conforme attentes, attentes correspond, conforme attentes conforme, attentes tout, correspond attentes conforme, tout conforme, parfait conforme, parfait conforme attentes, correspond attente"
13,"réclamation, réclamations, faire réclamation, réclamation faite, délai réclamation, fait réclamation, cette réclamation, aucune réclamation, après réclamation, faite, envoyé réclamation, jours, fais donc, reclamation, faire"
14,"taille, commandé, teeshirt, troué, teeshirt très, commande superbe, ethanol, xl, commandé bonne, ans, arrivé retard, manquait, place, bonne, camaïeu"
