Topic,Words
0,"top, matière, confortable, delai, moyen, qualité, sandale, fidèle, médiocre, difficulté, trop, semelle, pull, penser, décrire, coton, solide, pochette, idéal, pierre"
1,"conforme, qualité, produit, article, correspondre, photo, trop, description, taille, livraison, bel, décevoir, ravir, satisfaire, robe, commande, bon, délai, rapport, respecter"
2,"maillot, bain, pièce, décoration, mur, composition, absolu, mural, sensé, sacrer, winter, comparaison, batailler, réussite, colonne, coeur, art, maintien, lampadaire, internaute"
3,"livraison, rapide, long, bon, produit, qualité, bien, délai, date, temps, marchandise, arriver, commande, article, recommander, emballer, recevoir, colis, prix, tailler"
4,"satisfait, commande, recevoir, chaussure, paire, impeccable, état, commander, produit, achat, boucle, article, pointure, qualité, oreille, bon, mauvais, taille, lunette, identique"
5,"suivre, pari, enchanté, couler, exploser, mer, showrooprive, turn, literie, ballader, degré, rappeller, veeppe, traiter, largeur, analyse, guide, rarement, second, service"
6,"parfait, sac, rapidement, beau, livrer, habitude, superbe, produit, commande, être, recevoir, indiquer, correspondre, serieux, génial, temps, chinois, combler, photo, table"
7,"court, légèrement, électrique, peinture, tjr, trottinette, barre, touche, jardin, dangereux, retoucher, poêle, darty, srp, bêtise, pluie, rouler, vice, intervalle, utiliser"
8,"avance, présentation, sport, prevu, facture, espérai, coloré, pick, luminaire, compatible, bazar, contradictoire, luxe, conduire, thé, définitif, différence, gentil, modifier, genial"
9,"adorer, machine, combinaison, évaluer, commentaire, tordre, fonctionner, certificat, tenue, insuffisant, bla, imbattable, réduire, bijou, authenticité, rejoindre, surement, vulgaire, tendance, avantage"
10,"rien, redire, bracelet, collier, sérieux, bien, emballé, masque, cabosser, moche, encombre, tabouret, attache, souple, entier, beauté, alerte, quitte, chaussette, triste"
11,"parfaitement, montre, comparer, recu, facile, image, contrefaçon, basket, ravie, rose, made, ressembler, marché, abordable, déchirer, coussin, laver, aléatoire, tacher, tong"
12,"shirt, taille, haut, commandé, soutien, gorge, short, doux, culotte, doudoune, place, mac, jogging, extrême, bretelle, pénible, affranchir, adorable, reclamer, nécessité"
13,"efficace, ultra, couper, satisfaction, supporter, sticker, flou, gêner, comande, deco, bonnement, extremement, ecoute, déplaire, caler, égard, home, service, vraisemblablement, fruit"
14,"facilement, courage, transat, fidele, immense, incorrect, obligatoire, fringue, inventer, voie, lanière, assoir, nommer, craqu, tort, moral, poussière, indemnité, épouse, soeur"
15,"attente, satisfaisant, répondre, coque, cache, fonctionnel, installer, performant, commandant, solliciter, toile, anglais, prochainement, coupon, amélioration, prevenue, article, phone, recycl, date"
16,"rapidité, incomplet, sweat, réactivité, postal, piètre, efficacité, irréprochable, revoir, précision, pleinement, particulièrement, finaliser, regrettable, futur, impartir, parisien, facilité, glaçon, carafe"
17,"super, joli, excellent, bijou, bien, beal, passer, ensemble, sympa, bague, soigner, dérouler, promo, abîmer, carton, emballage, problème, produit, malheureusement, article"
18,"prévoir, aimer, irl, nickel, voyage, tré, vacance, collection, pantalon, séjour, assiette, bonjour, sanitaire, serrer, covid, crise, réservation, réserver, mme, parc"
19,"commande, client, recevoir, colis, site, livraison, service, vente, article, être, commander, produit, faire, aucun, remboursement, mois, jour, bien, livrer, jamais"
